"sample_unique"	"Accession_dorado"	"Accession_rerio"	"MDRO_dorado"	"MDRO_rerio"	"Accession_short"	"Accession_PRJNA903550"	"Accession_PRJNA1076808"	"SRR_dorado"	"SRR_rerio"	"SRR_short"	"empty"
"RIVM_C055766"	"SAMN39949536"	"SAMN39949892"	"Escherichia coli"	"Escherichia coli"	"SAMN39950625"	""	"SAMN39950625"	"SRR27972398"	"SRR27972760"	"SRR27977120"	""
"RIVM_C055767"	"SAMN39949537"	"SAMN39949893"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950626"	""	"SAMN39950626"	"SRR27972397"	"SRR27972759"	"SRR27977119"	""
"RIVM_C055768"	"SAMN39949538"	"SAMN39949894"	"Escherichia coli"	"Escherichia coli"	"SAMN39950627"	""	"SAMN39950627"	"SRR27972396"	"SRR27972758"	"SRR27977118"	""
"RIVM_C055769"	"SAMN39949539"	"SAMN39949895"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950628"	""	"SAMN39950628"	"SRR27972395"	"SRR27972756"	"SRR27977117"	""
"RIVM_C055770"	"SAMN39949540"	"SAMN39949896"	"Escherichia coli"	"Escherichia coli"	"SAMN39950629"	""	"SAMN39950629"	"SRR27972394"	"SRR27972755"	"SRR27977116"	""
"RIVM_C055773"	"SAMN39949541"	"SAMN39949897"	"Escherichia coli"	"Escherichia coli"	"SAMN39950630"	""	"SAMN39950630"	"SRR27972393"	"SRR27972754"	"SRR27977115"	""
"RIVM_C055777"	"SAMN39949542"	"SAMN39949898"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950631"	""	"SAMN39950631"	"SRR27972392"	"SRR27972753"	"SRR27977114"	""
"RIVM_C059143"	"SAMN39949543"	"SAMN39949899"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950632"	""	"SAMN39950632"	"SRR27972607"	"SRR27972752"	"SRR27977113"	""
"RIVM_C059144"	"SAMN39949544"	"SAMN39949900"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950633"	""	"SAMN39950633"	"SRR27972606"	"SRR27973031"	"SRR27977112"	""
"RIVM_C059149"	"SAMN39949545"	"SAMN39949901"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950634"	""	"SAMN39950634"	"SRR27972604"	"SRR27973030"	"SRR27977110"	""
"RIVM_C059150"	"SAMN39949546"	"SAMN39949902"	"Escherichia coli"	"Escherichia coli"	"SAMN39950635"	""	"SAMN39950635"	"SRR27972603"	"SRR27973029"	"SRR27977109"	""
"RIVM_C059151"	"SAMN39949547"	"SAMN39949903"	"Escherichia coli"	"Escherichia coli"	"SAMN39950636"	""	"SAMN39950636"	"SRR27972602"	"SRR27973028"	"SRR27977108"	""
"RIVM_C059152"	"SAMN39949548"	"SAMN39949904"	"Escherichia coli"	"Escherichia coli"	"SAMN39950637"	""	"SAMN39950637"	"SRR27972601"	"SRR27973027"	"SRR27977107"	""
"RIVM_C059181"	"SAMN39949549"	"SAMN39949905"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950638"	""	"SAMN39950638"	"SRR27972600"	"SRR27973025"	"SRR27977106"	""
"RIVM_C059185"	"SAMN39949550"	"SAMN39949906"	"Escherichia coli"	"Escherichia coli"	"SAMN39950639"	""	"SAMN39950639"	"SRR27972599"	"SRR27973024"	"SRR27977105"	""
"RIVM_C059186"	"SAMN39949551"	"SAMN39949907"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950640"	""	"SAMN39950640"	"SRR27972598"	"SRR27973023"	"SRR27977104"	""
"RIVM_C059187"	"SAMN39949552"	"SAMN39949908"	"Providencia stuartii"	"Providencia stuartii"	"SAMN39950641"	""	"SAMN39950641"	"SRR27972597"	"SRR27973022"	"SRR27977103"	""
"RIVM_C059189"	"SAMN39949553"	"SAMN39949909"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950642"	""	"SAMN39950642"	"SRR27972596"	"SRR27973021"	"SRR27977102"	""
"RIVM_C059193"	"SAMN39949554"	"SAMN39949910"	"Escherichia coli"	"Escherichia coli"	"SAMN39950643"	""	"SAMN39950643"	"SRR27972595"	"SRR27973020"	"SRR27977101"	""
"RIVM_C059194"	"SAMN39949555"	"SAMN39949911"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950644"	""	"SAMN39950644"	"SRR27972593"	"SRR27973019"	"SRR27977099"	""
"RIVM_C059195"	"SAMN39949556"	"SAMN39949912"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950645"	""	"SAMN39950645"	"SRR27972592"	"SRR27973018"	"SRR27977098"	""
"RIVM_C059196"	"SAMN39949557"	"SAMN39949913"	"Escherichia coli"	"Escherichia coli"	"SAMN39950646"	""	"SAMN39950646"	"SRR27972591"	"SRR27973017"	"SRR27977097"	""
"RIVM_C059197"	"SAMN39949558"	"SAMN39949914"	"Escherichia coli"	"Escherichia coli"	"SAMN39950647"	""	"SAMN39950647"	"SRR27972590"	"SRR27973016"	"SRR27977096"	""
"RIVM_C059199"	"SAMN39949559"	"SAMN39949915"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950648"	""	"SAMN39950648"	"SRR27972589"	"SRR27973013"	"SRR27977095"	""
"RIVM_C059203"	"SAMN39949560"	"SAMN39949916"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950649"	""	"SAMN39950649"	"SRR27972588"	"SRR27973012"	"SRR27977094"	""
"RIVM_C059204"	"SAMN39949561"	"SAMN39949917"	"Escherichia coli"	"Escherichia coli"	"SAMN39950650"	""	"SAMN39950650"	"SRR27972587"	"SRR27973011"	"SRR27977093"	""
"RIVM_C059206"	"SAMN39949562"	"SAMN39949918"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950651"	""	"SAMN39950651"	"SRR27972586"	"SRR27973010"	"SRR27977092"	""
"RIVM_C059207"	"SAMN39949563"	"SAMN39949919"	"Escherichia coli"	"Escherichia coli"	"SAMN39950652"	""	"SAMN39950652"	"SRR27972585"	"SRR27973009"	"SRR27977091"	""
"RIVM_C059208"	"SAMN39949564"	"SAMN39949920"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950653"	""	"SAMN39950653"	"SRR27972584"	"SRR27973008"	"SRR27977090"	""
"RIVM_C059209"	"SAMN39949565"	"SAMN39949921"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950654"	""	"SAMN39950654"	"SRR27972582"	"SRR27973007"	"SRR27977088"	""
"RIVM_C059212"	"SAMN39949566"	"SAMN39949922"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950655"	""	"SAMN39950655"	"SRR27972581"	"SRR27973006"	"SRR27977087"	""
"RIVM_C059215"	"SAMN39949567"	"SAMN39949923"	"Raoultella ornithinolytica"	"Raoultella ornithinolytica"	"SAMN39950656"	""	"SAMN39950656"	"SRR27972580"	"SRR27973005"	"SRR27977086"	""
"RIVM_C059273"	"SAMN39949568"	"SAMN39949924"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950657"	""	"SAMN39950657"	"SRR27972579"	"SRR27973004"	"SRR27977085"	""
"RIVM_C059274"	"SAMN39949569"	"SAMN39949925"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950658"	""	"SAMN39950658"	"SRR27972578"	"SRR27973002"	"SRR27977084"	""
"RIVM_C059278"	"SAMN39949570"	"SAMN39949926"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950659"	""	"SAMN39950659"	"SRR27972577"	"SRR27973001"	"SRR27977083"	""
"RIVM_C059284"	"SAMN39949571"	"SAMN39949927"	"Escherichia coli"	"Escherichia coli"	"SAMN39950660"	""	"SAMN39950660"	"SRR27972576"	"SRR27973000"	"SRR27977082"	""
"RIVM_C059295"	"SAMN39949572"	"SAMN39949928"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950661"	""	"SAMN39950661"	"SRR27972575"	"SRR27972999"	"SRR27977081"	""
"RIVM_C059297"	"SAMN39949573"	"SAMN39949929"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950662"	""	"SAMN39950662"	"SRR27972574"	"SRR27972998"	"SRR27977080"	""
"RIVM_C059300"	"SAMN39949574"	"SAMN39949930"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950663"	""	"SAMN39950663"	"SRR27972573"	"SRR27972997"	"SRR27977079"	""
"RIVM_C059301"	"SAMN39949575"	"SAMN39949931"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950664"	""	"SAMN39950664"	"SRR27972391"	"SRR27972996"	"SRR27977077"	""
"RIVM_C059305"	"SAMN39949576"	"SAMN39949932"	"Acinetobacter baumannii"	"Acinetobacter baumannii"	"SAMN39950665"	""	"SAMN39950665"	"SRR27972390"	"SRR27972463"	"SRR27977076"	""
"RIVM_C059306"	"SAMN39949577"	"SAMN39949933"	"Escherichia coli"	"Escherichia coli"	"SAMN39950666"	""	"SAMN39950666"	"SRR27972389"	"SRR27972462"	"SRR27977075"	""
"RIVM_C059307"	"SAMN39949578"	"SAMN39949934"	"Raoultella ornithinolytica"	"Raoultella ornithinolytica"	"SAMN39950667"	""	"SAMN39950667"	"SRR27972388"	"SRR27972461"	"SRR27977074"	""
"RIVM_C059313"	"SAMN39949579"	"SAMN39949935"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950668"	""	"SAMN39950668"	"SRR27972387"	"SRR27972459"	"SRR27977073"	""
"RIVM_C059314"	"SAMN39949580"	"SAMN39949936"	"Escherichia coli"	"Escherichia coli"	"SAMN39950669"	""	"SAMN39950669"	"SRR27972386"	"SRR27972458"	"SRR27977072"	""
"RIVM_C059315"	"SAMN39949581"	"SAMN39949937"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950670"	""	"SAMN39950670"	"SRR27972385"	"SRR27972457"	"SRR27977071"	""
"RIVM_C059316"	"SAMN39949582"	"SAMN39949938"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950671"	""	"SAMN39950671"	"SRR27972384"	"SRR27972456"	"SRR27977070"	""
"RIVM_C059318"	"SAMN39949583"	"SAMN39949939"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950672"	""	"SAMN39950672"	"SRR27972383"	"SRR27972455"	"SRR27977069"	""
"RIVM_C059321"	"SAMN39949584"	"SAMN39949940"	"Enterobacter cloacae"	"Enterobacter cloacae"	"SAMN39950673"	""	"SAMN39950673"	"SRR27972382"	"SRR27972454"	"SRR27977068"	""
"RIVM_C059323"	"SAMN39949585"	"SAMN39949941"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950674"	""	"SAMN39950674"	"SRR27972380"	"SRR27972453"	"SRR27977066"	""
"RIVM_C059325"	"SAMN39949586"	"SAMN39949942"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950675"	""	"SAMN39950675"	"SRR27972379"	"SRR27972452"	"SRR27977065"	""
"RIVM_C059326"	"SAMN39949587"	"SAMN39949943"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950676"	""	"SAMN39950676"	"SRR27972378"	"SRR27972451"	"SRR27977064"	""
"RIVM_C059329"	"SAMN39949588"	"SAMN39949944"	"Escherichia coli"	"Escherichia coli"	"SAMN39950677"	""	"SAMN39950677"	"SRR27972377"	"SRR27972450"	"SRR27977063"	""
"RIVM_C059330"	"SAMN39949589"	"SAMN39949945"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950678"	""	"SAMN39950678"	"SRR27972376"	"SRR27972448"	"SRR27977062"	""
"RIVM_C059331"	"SAMN39949590"	"SAMN39949946"	"Citrobacter freundii"	"Citrobacter freundii"	"SAMN39950679"	""	"SAMN39950679"	"SRR27972375"	"SRR27972447"	"SRR27977061"	""
"RIVM_C059332"	"SAMN39949591"	"SAMN39949947"	"Proteus mirabilis"	"Proteus mirabilis"	"SAMN39950680"	""	"SAMN39950680"	"SRR27972374"	"SRR27972446"	"SRR27977060"	""
"RIVM_C059460"	"SAMN39949592"	"SAMN39949948"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950681"	""	"SAMN39950681"	"SRR27972373"	"SRR27972445"	"SRR27977059"	""
"RIVM_C059464"	"SAMN39949593"	"SAMN39949949"	"Klebsiella pneumoniae"	"Klebsiella pneumoniae"	"SAMN39950682"	""	"SAMN39950682"	"SRR27972372"	"SRR27972444"	"SRR27977058"	""
"RIVM_C059465"	"SAMN39949594"	"SAMN39949950"	"Pseudomonas aeruginosa"	"Pseudomonas aeruginosa"	"SAMN39950683"	""	"SAMN39950683"	"SRR27972371"	"SRR27972443"	"SRR27977057"	""
