"sample_unique"	"Accession_dorado"	"Accession_rerio"	"MDRO_dorado"	"MDRO_rerio"	"Accession_short"	"Accession_PRJNA903550"	"Accession_PRJNA1076808"	"SRR_dorado"	"SRR_rerio"	"SRR_short"	"empty"
"RIVM_M097125"	"SAMN39949633"	"SAMN39949989"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950722"	""	"SAMN39950722"	"SRR27972903"	"SRR27972968"	"SRR27977050"	""
"RIVM_M097133"	"SAMN39949634"	"SAMN39949990"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950723"	""	"SAMN39950723"	"SRR27972902"	"SRR27972967"	"SRR27977049"	""
"RIVM_M097142"	"SAMN39949635"	"SAMN39949991"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950724"	""	"SAMN39950724"	"SRR27972900"	"SRR27972966"	"SRR27977046"	""
"RIVM_M097146"	"SAMN39949636"	"SAMN39949992"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950725"	""	"SAMN39950725"	"SRR27972899"	"SRR27972965"	"SRR27977045"	""
"RIVM_M097148"	"SAMN39949637"	"SAMN39949993"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950726"	""	"SAMN39950726"	"SRR27972898"	"SRR27972964"	"SRR27977044"	""
"RIVM_M097149"	"SAMN39949638"	"SAMN39949994"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950727"	""	"SAMN39950727"	"SRR27972897"	"SRR27972963"	"SRR27977043"	""
"RIVM_M097153"	"SAMN39949639"	"SAMN39949995"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950728"	""	"SAMN39950728"	"SRR27972896"	"SRR27972961"	"SRR27977042"	""
"RIVM_M097158"	"SAMN39949640"	"SAMN39949996"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950729"	""	"SAMN39950729"	"SRR27972571"	"SRR27972960"	"SRR27977041"	""
"RIVM_M097170"	"SAMN39949641"	"SAMN39949997"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950730"	""	"SAMN39950730"	"SRR27972570"	"SRR27972751"	"SRR27977040"	""
"RIVM_M097188"	"SAMN39949642"	"SAMN39949998"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950731"	""	"SAMN39950731"	"SRR27972569"	"SRR27972750"	"SRR27977039"	""
"RIVM_M097189"	"SAMN39949643"	"SAMN39949999"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950732"	""	"SAMN39950732"	"SRR27972568"	"SRR27972749"	"SRR27977038"	""
"RIVM_M097203"	"SAMN39949644"	"SAMN39950000"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950733"	""	"SAMN39950733"	"SRR27972567"	"SRR27972748"	"SRR27977037"	""
"RIVM_M097208"	"SAMN39949645"	"SAMN39950001"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950734"	""	"SAMN39950734"	"SRR27972565"	"SRR27972747"	"SRR27977035"	""
"RIVM_M098039"	"SAMN39949646"	"SAMN39950002"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950735"	""	"SAMN39950735"	"SRR27972564"	"SRR27972746"	"SRR27977034"	""
"RIVM_M099472"	"SAMN39949647"	"SAMN39950003"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950736"	""	"SAMN39950736"	"SRR27972563"	"SRR27972745"	"SRR27977033"	""
"RIVM_M099556"	"SAMN39949648"	"SAMN39950004"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950737"	""	"SAMN39950737"	"SRR27972562"	"SRR27972744"	"SRR27977032"	""
"RIVM_M099591"	"SAMN39949649"	"SAMN39950005"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950738"	""	"SAMN39950738"	"SRR27972561"	"SRR27972742"	"SRR27977031"	""
"RIVM_M099697"	"SAMN39949650"	"SAMN39950006"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950739"	""	"SAMN39950739"	"SRR27972560"	"SRR27972741"	"SRR27977030"	""
"RIVM_M099733"	"SAMN39949651"	"SAMN39950007"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950740"	""	"SAMN39950740"	"SRR27972559"	"SRR27972740"	"SRR27977029"	""
"RIVM_M099734"	"SAMN39949652"	"SAMN39950008"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950741"	""	"SAMN39950741"	"SRR27972558"	"SRR27972739"	"SRR27977028"	""
"RIVM_M099945"	"SAMN39949653"	"SAMN39950009"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950742"	""	"SAMN39950742"	"SRR27972557"	"SRR27972738"	"SRR27977027"	""
"RIVM_M100148"	"SAMN39949654"	"SAMN39950010"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950743"	""	"SAMN39950743"	"SRR27972556"	"SRR27972737"	"SRR27977026"	""
"RIVM_M100215"	"SAMN39949655"	"SAMN39950011"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950744"	""	"SAMN39950744"	"SRR27972554"	"SRR27972736"	"SRR27977024"	""
"RIVM_M100248"	"SAMN39949656"	"SAMN39950012"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950745"	""	"SAMN39950745"	"SRR27972553"	"SRR27972735"	"SRR27977023"	""
"RIVM_M100299"	"SAMN39949657"	"SAMN39950013"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950746"	""	"SAMN39950746"	"SRR27972552"	"SRR27972734"	"SRR27977022"	""
"RIVM_M100329"	"SAMN39949658"	"SAMN39950014"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950747"	""	"SAMN39950747"	"SRR27972551"	"SRR27972733"	"SRR27977021"	""
"RIVM_M100346"	"SAMN39949659"	"SAMN39950015"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950748"	""	"SAMN39950748"	"SRR27972550"	"SRR27972730"	"SRR27977020"	""
"RIVM_M100394"	"SAMN39949660"	"SAMN39950016"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950749"	""	"SAMN39950749"	"SRR27972549"	"SRR27972729"	"SRR27977019"	""
"RIVM_M100430"	"SAMN39949661"	"SAMN39950017"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950750"	""	"SAMN39950750"	"SRR27972548"	"SRR27972728"	"SRR27977018"	""
"RIVM_M100481"	"SAMN39949662"	"SAMN39950018"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950751"	""	"SAMN39950751"	"SRR27972547"	"SRR27972727"	"SRR27977017"	""
"RIVM_M100501"	"SAMN39949663"	"SAMN39950019"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950752"	""	"SAMN39950752"	"SRR27972546"	"SRR27972726"	"SRR27977016"	""
"RIVM_M100520"	"SAMN39949664"	"SAMN39950020"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950753"	""	"SAMN39950753"	"SRR27972545"	"SRR27972725"	"SRR27977239"	""
"RIVM_M100657"	"SAMN39949665"	"SAMN39950021"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950754"	""	"SAMN39950754"	"SRR27972543"	"SRR27972724"	"SRR27977237"	""
"RIVM_M100672"	"SAMN39949666"	"SAMN39950022"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950755"	""	"SAMN39950755"	"SRR27972542"	"SRR27972723"	"SRR27977236"	""
"RIVM_M100707"	"SAMN39949667"	"SAMN39950023"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950756"	""	"SAMN39950756"	"SRR27972541"	"SRR27972722"	"SRR27977235"	""
"RIVM_M100709"	"SAMN39949668"	"SAMN39950024"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950757"	""	"SAMN39950757"	"SRR27972540"	"SRR27972721"	"SRR27977234"	""
"RIVM_M100719"	"SAMN39949669"	"SAMN39950025"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950758"	""	"SAMN39950758"	"SRR27972539"	"SRR27972719"	"SRR27977233"	""
"RIVM_M101423"	"SAMN39949670"	"SAMN39950026"	"Staphylococcus aureus"	"Staphylococcus aureus"	"SAMN39950759"	""	"SAMN39950759"	"SRR27972538"	"SRR27972718"	"SRR27977232"	""
